Estado Start/Stop;Ambiente;App Name;Owner;COMPUTER NAME;RESOURCE GROUP;SUBSCRIPTION;LOCATION;SIZE;Schedule
Agendamento em progresso;QL;Sifox;Paulino Carvalho;qlsifoxwebsvc01;NE-QL-SIFOX-WEB-RG;DDD-SIFOX-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;Siopeia;Paulino Carvalho;dvsiopeappsvc01;NE-DV-SIOPE-APP-RG;DDD-SIOPE-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;Siopeia;Paulino Carvalho;dvsiopedatodb01;ne-dv-siope-dat-rg;DDD-SIOPE-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;DV;Siopeia;Paulino Carvalho;dvsiopeprcsvc01;NE-DV-SIOPE-PRC-RG;DDD-SIOPE-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;Siopeia;Paulino Carvalho;qlsiopeappsvc01;NE-QL-SIOPE-APP-RG;DDD-SIOPE-QL;North Europe;Standard_B4ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;Siopeia;Paulino Carvalho;qlsiopedatodb01;NE-QL-SIOPE-DAT-RG;DDD-SIOPE-QL;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;Siopeia;Paulino Carvalho;qlsiopeprcsvc01;ne-ql-siope-prc-rg;DDD-SIOPE-QL;North Europe;Standard_B12ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;DV;Smart PBC;Paulino Carvalho;dvcapbcdatdmg01;NE-DV-CAPBC-INF-RG;DDD-Smart PBC-DV;North Europe;Standard_A2_v2;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;DV;Smart PBC;Paulino Carvalho;dvcapbcdatdmg02;NE-DV-CAPBC-INF-RG;DDD-Smart PBC-DV;North Europe;Standard_A2_v2;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;DV;Smart PBC;Paulino Carvalho;dvcapbcdatsql01;NE-DV-CAPBC-INF-RG;DDD-Smart PBC-DV;North Europe;Standard_B8ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;DV;Smart PBC;Paulino Carvalho;dvcapbcdgwvms01;NE-DV-CAPBC-DGW-RG;DDD-AEA-EIG-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;DV;Smart PBC;Paulino Carvalho;dvcapbcdgwvms02;NE-DV-CAPBC-DGW-RG;DDD-AEA-EIG-DV;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;DV;Smart PBC;Paulino Carvalho;dvcapbcinfadc01;NE-DV-CAPBC-INF-RG;DDD-Smart PBC-DV;North Europe;Standard_B2s;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;DV;Smart PBC;Paulino Carvalho;dveigdatsql01;NE-DV-EIG-INF-RG;DDD-AEA-EIG-DV;North Europe;Standard_F4s_v2;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;QL;Smart PBC;Paulino Carvalho;qlcapbcdatdmg01;NE-QL-CAPBC-INF-RG;DDD-AEA-EIG-QA;North Europe;Standard_A2_v2;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;QL;;;qlsqubeinfsec01;ne-ql-sqube-inf-rg;DDA AEA QA;North Europe;Standard_B2ms;
Inactivo;QL;;;qlvpninfdns01;ne-ql-gtway-net-rg;AEA-Gateway-QL;North Europe;Standard_B2ms;
Inactivo;QL;;;qlwvdinfhp2-0;NE-QL-WVD-HP2-RG;DDD-WVD-QL;North Europe;Standard_E4s_v3;
Inactivo;QL;;;qlwvdinfhp3-0;NE-QL-WVD-HP3-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Activo;QL;Smart PBC;Paulino Carvalho;qlcapbcdatdmg02;NE-QL-CAPBC-INF-RG;DDD-AEA-EIG-QA;North Europe;Standard_A4_v2;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;QL;;;qlwvdinfhp5-0;NE-QL-WVD-HP5-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;qlwvdinfhp6-0;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B8ms;
Inactivo;QL;;;qlwvdinfhp7-0;NE-PR-WVD-HP21-RG;DSP-WVD-PR;North Europe;Standard_B2s;
